SKU,ABC_Class,inventory_efficiency_factor,order_qty_factor,original_service_level,optimized_service_level,original_holding_cost,optimized_holding_cost,original_ordering_cost,optimized_ordering_cost,original_stockout_cost,optimized_stockout_cost,original_total_cost,optimized_total_cost,original_avg_inventory,optimized_avg_inventory,cost_savings_pct
BRAKE_PAD_1_150,B,0.8,0.7,0.95,0.95,358.3584,286.68672,112.4928,78.74496,5.0277,6.03324,475.8789,371.46492,335.5837,268.46696,21.941292207
BRAKE_PAD_1_176,A,1.04,0.7,0.95,0.98,416.2994,432.951376,179.6861,125.78027,7.8222,7.509312,603.8077,566.240958,662.2731,688.764024,6.221640102
BRAKE_PAD_1_177,A,1.04,0.7,0.95,0.98,605.5109,629.731336,201.2971,140.90797,11.216,10.76736,818.024,781.406666,317.9068,330.623072,4.476315365
BRAKE_PAD_1_179,C,0.8,0.7,0.95,0.95,125.1945,100.1556,110.0102,77.00714,2.9743,3.56916,238.179,180.7319,184.747,147.7976,24.119296831
BRAKE_PAD_1_181,B,0.8,0.7,0.95,0.95,271.6507,217.32056,126.1489,88.30423,4.6189,5.54268,402.4185,311.16747,1019.8095,815.8476,22.675654822
BRAKE_PAD_1_183,A,1.04,0.7,0.95,0.98,721.6751,750.542104,371.6651,260.16557,33.6397,32.294112,1126.9799,1043.001786,1500.498,1560.51792,7.451607078
BRAKE_PAD_2_003,A,1.04,0.7,0.95,0.98,362.7099,377.218296,206.868,144.8076,8.4927,8.152992,578.0706,530.178888,921.5734,958.436336,8.284751378
BRAKE_PAD_2_007,C,0.8,0.7,0.95,0.95,204.2442,163.39536,71.3007,49.91049,2.5125,3.015,278.0574,216.32085,309.6561,247.72488,22.202807766
BRAKE_PAD_2_031,A,1.04,0.7,0.95,0.98,331.7925,345.0642,251.4575,176.02025,10.145,9.7392,593.395,530.82365,945.4814,983.300656,10.544637215
BRAKE_PAD_2_042,A,1.04,0.7,0.95,0.98,383.1492,398.475168,230.4898,161.34286,10.6656,10.238976,624.3046,570.057004,1116.3427,1160.996408,8.689283404
BRAKE_PAD_2_045,B,0.8,0.7,0.95,0.95,382.8871,306.30968,122.3646,85.65522,5.6509,6.78108,510.9026,398.74598,243.1186,194.49488,21.952642245
BRAKE_PAD_2_052,A,1.04,0.7,0.95,0.98,516.52,537.1808,394.1613,275.91291,23.4563,22.518048,934.1376,835.611758,227.0845,236.16788,10.547251497
BRAKE_PAD_2_078,A,1.04,0.7,0.95,0.98,800.941,832.97864,352.6375,246.84625,31.5618,30.299328,1185.1403,1110.124218,443.1943,460.922072,6.329721637
BRAKE_PAD_2_096,C,0.8,0.7,0.95,0.95,263.4719,210.77752,93.5841,65.50887,4.1847,5.02164,361.2407,281.30803,137.2053,109.76424,22.1272603
BRAKE_PAD_2_116,B,0.8,0.7,0.95,0.95,317.2185,253.7748,131.0146,91.71022,5.5589,6.67068,453.792,352.1557,791.7583,633.40664,22.397111452
BRAKE_PAD_2_124,B,0.8,0.7,0.95,0.95,304.6803,243.74424,126.0891,88.26237,5.0533,6.06396,435.8227,338.07057,526.9316,421.54528,22.429334222
BRAKE_PAD_2_126,A,1.04,0.7,0.95,0.98,341.2604,354.910816,204.6021,143.22147,7.8409,7.527264,553.7034,505.65955,403.3841,419.519464,8.676820478
BRAKE_PAD_2_127,B,0.8,0.7,0.95,0.95,316.2208,252.97664,84.0998,58.86986,3.0657,3.67884,403.3863,315.52534,187.2831,149.82648,21.780848779
BRAKE_PAD_2_130,B,0.8,0.7,0.95,0.95,340.2739,272.21912,149.8961,104.92727,7.5574,9.06888,497.7274,386.21527,1184.772,947.8176,22.404257833
BRAKE_PAD_2_146,B,0.8,0.7,0.95,0.95,298.6236,238.89888,145.8187,102.07309,6.1875,7.425,450.6298,348.39697,791.6381,633.31048,22.686655432
BRAKE_PAD_2_159,C,0.8,0.7,0.95,0.95,169.8843,135.90744,64.8006,45.36042,1.9333,2.31996,236.6182,183.58782,184.0186,147.21488,22.411792499
BRAKE_PAD_2_166,A,1.04,0.7,0.95,0.98,279.9164,291.113056,238.5575,166.99025,8.0388,7.717248,526.5127,465.820554,756.8044,787.076576,11.527195071
BRAKE_PAD_2_172,C,0.8,0.7,0.95,0.95,221.7812,177.42496,102.0108,71.40756,4.7543,5.70516,328.5463,254.53768,462.6181,370.09448,22.526085365
BRAKE_PAD_2_173,A,1.04,0.7,0.95,0.98,633.2302,658.559408,272.2699,190.58893,17.4185,16.72176,922.9186,865.870098,358.7639,373.114456,6.181314582
BRAKE_PAD_2_181,A,1.04,0.7,0.95,0.98,793.6556,825.401824,508.0443,355.63101,54.6851,52.497696,1356.385,1233.53053,2844.7127,2958.501208,9.057492526
BRAKE_PAD_2_182,B,0.8,0.7,0.95,0.95,302.3317,241.86536,147.4337,103.20359,6.2519,7.50228,456.0173,352.57123,808.2525,646.602,22.684681042
BRAKE_PAD_2_183,A,1.04,0.7,0.95,0.98,861.7545,896.22468,438.2482,306.77374,41.6752,40.008192,1341.6779,1243.006612,534.5727,555.955608,7.354320139
BRAKE_PAD_2_184,A,1.04,0.7,0.95,0.98,646.6429,672.508616,367.3329,257.13303,28.8881,27.732576,1042.8639,957.374222,801.6467,833.712568,8.19758724
BRAKE_PAD_2_188,B,0.8,0.7,0.95,0.95,267.17,213.736,134.4389,94.10723,5.1456,6.17472,406.7545,314.01795,505.2398,404.19184,22.79914543
BRAKE_PAD_2_207,B,0.8,0.7,0.95,0.95,305.6795,244.5436,150.1291,105.09037,5.9526,7.14312,461.7612,356.77709,197.102,157.6816,22.735584973
BRAKE_PAD_2_210,C,0.8,0.7,0.95,0.95,293.9016,235.12128,106.2117,74.34819,6.0823,7.29876,406.1956,316.76823,377.2355,301.7884,22.015839167
BRAKE_PAD_2_212,A,1.04,0.7,0.95,0.98,512.0192,532.499968,354.5019,248.15133,21.9889,21.109344,888.51,801.760642,654.6776,680.864704,9.763464452
BRAKE_PAD_2_223,C,0.8,0.7,0.95,0.95,144.1872,115.34976,106.2942,74.40594,3.4924,4.19088,253.9738,193.94658,367.8729,294.29832,23.635201741
BRAKE_PAD_2_254,C,0.8,0.7,0.95,0.95,123.4021,98.72168,90.3502,63.24514,2.3445,2.8134,216.0968,164.78022,101.6763,81.34104,23.747033737
BRAKE_PAD_2_259,C,0.8,0.7,0.95,0.95,316.5657,253.25256,96.6236,67.63652,5.4094,6.49128,418.5987,327.38036,376.6288,301.30304,21.791357689
BRAKE_PAD_2_285,A,1.04,0.7,0.95,0.98,1254.4976,1304.677504,310.86,217.602,48.7939,46.842144,1614.1515,1569.121648,2287.1729,2378.659816,2.789691798
BRAKE_PAD_2_295,A,1.04,0.7,0.95,0.98,778.7843,809.935672,344.6837,241.27859,28.236,27.10656,1151.704,1078.320822,343.2048,356.932992,6.371704709
BRAKE_PAD_2_303,A,1.04,0.7,0.95,0.98,189.7845,197.37588,168.0059,117.60413,3.726,3.57696,361.5164,318.55697,498.4897,518.429288,11.883120655
BRAKE_PAD_2_311,A,1.04,0.7,0.95,0.98,458.1185,476.44324,222.0399,155.42793,12.2651,11.774496,692.4235,643.645666,1129.697,1174.88488,7.044508744
BRAKE_PAD_2_317,A,1.04,0.7,0.95,0.98,385.2336,400.642944,270.4637,189.32459,10.6778,10.250688,666.3751,600.218222,150.6619,156.688376,9.927873656
BRAKE_PAD_2_324,B,0.8,0.7,0.95,0.95,330.2745,264.2196,168.899,118.2293,7.85,9.42,507.0235,391.8689,681.0794,544.86352,22.711886135
BRAKE_PAD_2_332,B,0.8,0.7,0.95,0.95,303.3374,242.66992,87.9333,61.55331,3.1072,3.72864,394.3779,307.95187,400.329,320.2632,21.914521579
BRAKE_PAD_2_346,B,0.8,0.7,0.95,0.95,522.6801,418.14408,284.6546,199.25822,24.8148,29.77776,832.1495,647.18006,1343.5177,1074.81416,22.227909769
BRAKE_PAD_2_348,A,1.04,0.7,0.95,0.98,531.0313,552.272552,177.8685,124.50795,8.7814,8.430144,717.6812,685.210646,407.7332,424.042528,4.524370152
BRAKE_PAD_2_352,B,0.8,0.7,0.95,0.95,229.4132,183.53056,410.3945,287.27615,16.0804,19.29648,655.8881,490.10319,134.4591,107.56728,25.276401569
BRAKE_PAD_2_355,C,0.8,0.7,0.95,0.95,182.4613,145.96904,149.5679,104.69753,6.4109,7.69308,338.4401,258.35965,388.2654,310.61232,23.661631704
BRAKE_PAD_2_361,A,1.04,0.7,0.95,0.98,404.5491,420.731064,253.3188,177.32316,11.1401,10.694496,669.008,608.74872,554.0995,576.26348,9.007258508
BRAKE_PAD_2_368,A,1.04,0.7,0.95,0.98,918.7916,955.543264,785.5856,549.90992,92.2922,88.600512,1796.6694,1594.053696,772.9015,803.81756,11.277294754
BRAKE_PAD_2_369,C,0.8,0.7,0.95,0.95,289.8195,231.8556,126.1945,88.33615,7.427,8.9124,423.441,329.10415,295.8012,236.64096,22.278629136
BRAKE_PAD_2_382,A,1.04,0.7,0.95,0.98,452.7066,470.814864,235.2429,164.67003,12.1092,11.624832,700.0587,647.109726,704.6714,732.858256,7.563504889
BRAKE_PAD_2_387,A,1.04,0.7,0.95,0.98,662.3929,688.888616,314.2395,219.96765,21.1956,20.347776,997.828,929.204042,255.8493,266.083272,6.877333368
BRAKE_PAD_2_393,B,0.8,0.7,0.95,0.95,411.79,329.432,147.8546,103.49822,7.8229,9.38748,567.4675,442.3177,503.762,403.0096,22.054091203
BRAKE_PAD_3_008,B,0.8,0.7,0.95,0.95,338.8285,271.0628,191.8878,134.32146,9.2651,11.11812,539.9814,416.50238,2285.0053,1828.00424,22.867272836
BRAKE_PAD_3_009,C,0.8,0.7,0.95,0.95,240.501,192.4008,110.4748,77.33236,5.4214,6.50568,356.3972,276.23884,534.4559,427.56472,22.491299034
BRAKE_PAD_3_023,A,1.04,0.7,0.95,0.98,443.9017,461.657768,235.0884,164.56188,11.303,10.85088,690.2931,637.070528,596.7954,620.667216,7.710141098
BRAKE_PAD_3_030,A,1.04,0.7,0.95,0.98,379.0261,394.187144,221.1782,154.82474,9.984,9.58464,610.1883,558.596524,1671.0594,1737.901776,8.455058217
BRAKE_PAD_3_033,C,0.8,0.7,0.95,0.95,228.1655,182.5324,79.7466,55.82262,3.5266,4.23192,311.4387,242.58694,432.0697,345.65576,22.107644297
BRAKE_PAD_3_034,A,1.04,0.7,0.95,0.98,429.5625,446.745,177.1859,124.03013,8.6516,8.305536,615.4,579.080666,955.9739,994.212856,5.901744231
BRAKE_PAD_3_045,B,0.8,0.7,0.95,0.95,364.5201,291.61608,133.8095,93.66665,6.0662,7.27944,504.3958,392.56217,418.8968,335.11744,22.1718004
BRAKE_PAD_3_046,C,0.8,0.7,0.95,0.95,174.657,139.7256,59.0884,41.36188,1.8455,2.2146,235.5909,183.30208,386.3526,309.08208,22.194753702
BRAKE_PAD_3_049,B,0.8,0.7,0.95,0.95,252.1384,201.71072,113.3692,79.35844,3.6973,4.43676,369.2049,285.50592,256.9625,205.57,22.670062071
BRAKE_PAD_3_062,B,0.8,0.7,0.95,0.95,322.2327,257.78616,127.1251,88.98757,5.5752,6.69024,454.933,353.46397,568.7757,455.02056,22.304170065
BRAKE_PAD_3_063,A,1.04,0.7,0.95,0.98,379.2453,394.415112,167.9594,117.57158,6.7939,6.522144,553.9986,518.508836,910.4,946.816,6.406110774
BRAKE_PAD_3_072,B,0.8,0.7,0.95,0.95,329.2664,263.41312,146.7275,102.70925,6.7255,8.0706,482.7194,374.19297,687.3968,549.91744,22.482301312
BRAKE_PAD_3_075,C,0.8,0.7,0.95,0.95,154.2561,123.40488,70.3473,49.24311,2.083,2.4996,226.6864,175.14759,251.8197,201.45576,22.735730948
BRAKE_PAD_3_087,A,1.04,0.7,0.95,0.98,578.4275,601.5646,328.2719,229.79033,25.279,24.26784,931.9784,855.62277,1504.8194,1565.012176,8.19285404
BRAKE_PAD_3_096,A,1.04,0.7,0.95,0.98,573.9708,596.929632,256.9227,179.84589,16.3415,15.68784,847.235,792.463362,722.1286,751.013744,6.464751574
BRAKE_PAD_3_098,A,1.04,0.7,0.95,0.98,556.8116,579.084064,264.3531,185.04717,16.8304,16.157184,837.9951,780.288418,729.2885,758.46004,6.886279168
BRAKE_PAD_3_118,A,1.04,0.7,0.95,0.98,402.8493,418.963272,249.0687,174.34809,12.9981,12.478176,664.9161,605.789538,2205.7731,2294.004024,8.892334236
BRAKE_PAD_3_121,A,1.04,0.7,0.95,0.98,616.9669,641.645576,321.615,225.1305,26.213,25.16448,964.7949,891.940556,1338.725,1392.274,7.551277893
BRAKE_PAD_3_123,C,0.8,0.7,0.95,0.95,108.3707,86.69656,76.9579,53.87053,1.7812,2.13744,187.1098,142.70453,255.6591,204.52728,23.732198955
BRAKE_PAD_3_134,A,1.04,0.7,0.95,0.98,450.3689,468.383656,351.1814,245.82698,18.471,17.73216,820.0213,731.942796,391.4704,407.129216,10.741001972
BRAKE_PAD_3_137,C,0.8,0.7,0.95,0.95,135.3048,108.24384,92.3819,64.66733,2.6427,3.17124,230.3294,176.08241,278.8872,223.10976,23.551917384
BRAKE_PAD_3_149,C,0.8,0.7,0.95,0.95,168.9242,135.13936,83.9143,58.74001,2.8235,3.3882,255.662,197.26757,342.7163,274.17304,22.840480791
BRAKE_PAD_3_161,B,0.8,0.7,0.95,0.95,257.3381,205.87048,96.7782,67.74474,3.259,3.9108,357.3753,277.52602,622.9569,498.36552,22.343256515
BRAKE_PAD_3_165,C,0.8,0.7,0.95,0.95,121.387,97.1096,46.2894,32.40258,0.9865,1.1838,168.6629,130.69598,158.7376,126.99008,22.510534326
BRAKE_PAD_3_170,C,0.8,0.7,0.95,0.95,228.0239,182.41912,84.9743,59.48201,3.8605,4.6326,316.8587,246.53373,559.9128,447.93024,22.194426096
BRAKE_PAD_3_176,A,1.04,0.7,0.95,0.98,439.2282,456.797328,204.9891,143.49237,9.9158,9.519168,654.1331,609.808866,1567.6205,1630.32532,6.776026775
BRAKE_PAD_3_179,B,0.8,0.7,0.95,0.95,332.9193,266.33544,116.3931,81.47517,4.708,5.6496,454.0204,353.46021,342.8986,274.31888,22.148826352
BRAKE_PAD_3_180,C,0.8,0.7,0.95,0.95,211.543,169.2344,78.7388,55.11716,3.151,3.7812,293.4328,228.13276,331.0357,264.82856,22.253831201
BRAKE_PAD_3_192,C,0.8,0.7,0.95,0.95,426.1373,340.90984,195.6426,136.94982,19.5415,23.4498,641.3214,501.30946,446.6946,357.35568,21.831789801
BRAKE_PAD_3_198,B,0.8,0.7,0.95,0.95,321.4803,257.18424,126.2382,88.36674,5.1434,6.17208,452.8619,351.72306,253.8033,203.04264,22.333263187
BRAKE_PAD_3_224,A,1.04,0.7,0.95,0.98,570.589,593.41256,302.2714,211.58998,20.4839,19.664544,893.3443,824.667084,859.2593,893.629672,7.687653685
BRAKE_PAD_3_227,A,1.04,0.7,0.95,0.98,480.8675,500.1022,241.7708,169.23956,13.669,13.12224,736.3073,682.464,1063.7756,1106.326624,7.312612546
BRAKE_PAD_3_288,A,1.04,0.7,0.95,0.98,1009.8937,1050.289448,691.9121,484.33847,85.268,81.85728,1787.0738,1616.485198,4026.5083,4187.568632,9.545694308
BRAKE_PAD_3_295,A,1.04,0.7,0.95,0.98,508.4066,528.742864,297.8824,208.51768,19.8617,19.067232,826.1507,756.327776,4026.8371,4187.910584,8.451596543
BRAKE_PAD_3_307,A,1.04,0.7,0.95,0.98,869.9357,904.733128,488.6818,342.07726,55.4095,53.19312,1414.027,1300.003508,1414.2279,1470.797016,8.063742206
