SKU,ABC_Class,inventory_efficiency_factor,order_qty_factor,original_service_level,optimized_service_level,original_holding_cost,optimized_holding_cost,original_ordering_cost,optimized_ordering_cost,original_stockout_cost,optimized_stockout_cost,original_total_cost,optimized_total_cost,original_avg_inventory,optimized_avg_inventory,cost_savings_pct
LED_PANEL_1_371,B,0.8,0.7,0.95,0.95,281.14,224.912,113.62,79.534,58.65,70.38,453.41,374.826,3284.02,2627.216,17.331774773
LED_PANEL_1_373,A,0.8,0.7,0.98,0.98,965.63,772.504,421.61,295.127,197.06,236.472,1584.3,1304.103,364.44,291.552,17.685854952
LED_PANEL_1_375,C,0.8,0.7,0.9,0.9,227.52,182.016,56.57,39.599,63.88,76.656,347.97,298.271,92.12,73.696,14.282553094
LED_PANEL_1_389,B,0.8,0.7,0.95,0.95,505.39,404.312,125.05,87.535,149.31,179.172,779.75,671.019,168.89,135.112,13.944341135
LED_PANEL_1_391,B,0.8,0.7,0.95,0.95,359.71,287.768,104.84,73.388,84.23,101.076,548.78,462.232,424.02,339.216,15.770982908
LED_PANEL_1_409,A,0.8,0.7,0.98,0.98,562.15,449.72,197.88,138.516,90.54,108.648,850.57,696.884,548.02,438.416,18.068589299
LED_PANEL_2_002,C,0.8,0.7,0.9,0.9,221.77,177.416,65.14,45.598,82.89,99.468,369.8,322.482,553.47,442.776,12.79556517
LED_PANEL_2_003,C,0.8,0.7,0.9,0.9,157.5,126,39.26,27.482,39.11,46.932,235.87,200.414,319.8,255.84,15.032009158
LED_PANEL_2_005,C,0.8,0.7,0.9,0.9,147.76,118.208,36.8,25.76,26.74,32.088,211.3,176.056,132.22,105.776,16.679602461
LED_PANEL_2_008,C,0.8,0.7,0.9,0.9,183.46,146.768,45.68,31.976,47.7,57.24,276.84,235.984,193.95,155.16,14.75798295
LED_PANEL_2_011,C,0.8,0.7,0.9,0.9,130.17,104.136,32.44,22.708,20.58,24.696,183.19,151.54,536.76,429.408,17.277143949
LED_PANEL_2_015,C,0.8,0.7,0.9,0.9,188.09,150.472,46.82,32.774,46.43,55.716,281.34,238.962,281.4,225.12,15.062913201
LED_PANEL_2_018,C,0.8,0.7,0.9,0.9,253.95,203.16,64.09,44.863,88.07,105.684,406.11,353.707,342.52,274.016,12.903646795
LED_PANEL_2_020,C,0.8,0.7,0.9,0.9,213.52,170.816,53.14,37.198,66.98,80.376,333.64,288.39,225.53,180.424,13.562522479
LED_PANEL_2_032,C,0.8,0.7,0.9,0.9,140.26,112.208,34.97,24.479,32.41,38.892,207.64,175.579,571.03,456.824,15.440666538
LED_PANEL_2_034,C,0.8,0.7,0.9,0.9,181.81,145.448,45.28,31.696,49.49,59.388,276.58,236.532,262,209.6,14.479716538
LED_PANEL_2_062,C,0.8,0.7,0.9,0.9,244.25,195.4,60.68,42.476,70.66,84.792,375.59,322.668,170.25,136.2,14.090364493
LED_PANEL_2_065,C,0.8,0.7,0.9,0.9,86.6,69.28,21.61,15.127,10.08,12.096,118.29,96.503,692.82,554.256,18.418294023
LED_PANEL_2_067,C,0.8,0.7,0.9,0.9,219.1,175.28,59.65,41.755,60.68,72.816,339.43,289.851,335.32,268.256,14.606546269
LED_PANEL_2_076,B,0.8,0.7,0.95,0.95,320.54,256.432,79.63,55.741,63.5,76.2,463.67,388.373,462.74,370.192,16.239351263
LED_PANEL_2_089,B,0.8,0.7,0.95,0.95,395.16,316.128,128.03,89.621,114.97,137.964,638.16,543.713,604.78,483.824,14.799893444
LED_PANEL_2_100,C,0.8,0.7,0.9,0.9,196.15,156.92,48.94,34.258,58.85,70.62,303.94,261.798,927.58,742.064,13.86523656
LED_PANEL_2_110,C,0.8,0.7,0.9,0.9,152.57,122.056,38.03,26.621,37.63,45.156,228.23,193.833,102.22,81.776,15.071200105
LED_PANEL_2_114,C,0.8,0.7,0.9,0.9,174.9,139.92,43.56,30.492,43.51,52.212,261.97,222.624,338.62,270.896,15.019277016
LED_PANEL_2_115,B,0.8,0.7,0.95,0.95,304.83,243.864,83.67,58.569,55.36,66.432,443.86,368.865,554.81,443.848,16.896093363
LED_PANEL_2_116,C,0.8,0.7,0.9,0.9,232.3,185.84,57.78,40.446,74.97,89.964,365.05,316.25,312.86,250.288,13.368031776
LED_PANEL_2_124,C,0.8,0.7,0.9,0.9,83.17,66.536,20.75,14.525,9.1,10.92,113.02,91.981,1446.37,1157.096,18.615289329
LED_PANEL_2_125,C,0.8,0.7,0.9,0.9,104.69,83.752,26.11,18.277,14.88,17.856,145.68,119.885,435.14,348.112,17.706617243
LED_PANEL_2_130,B,0.8,0.7,0.95,0.95,397.87,318.296,98.45,68.915,73.16,87.792,569.48,475.003,227.5,182,16.59004706
LED_PANEL_2_143,C,0.8,0.7,0.9,0.9,102.55,82.04,25.58,17.906,15.6,18.72,143.73,118.666,403.5,322.8,17.438252279
LED_PANEL_2_149,C,0.8,0.7,0.9,0.9,153.81,123.048,38.3,26.81,27.97,33.564,220.08,183.422,430.31,344.248,16.656670302
